sido,sigungu,road_type,road_direction,address,signal_lat,signal_lon,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경기도,구리시,시도,3,경기도 구리시 수택동 878-1,37.58739466,127.1408379,2,1,31120-TL-00645-01,2,0,1,0,3980000
경기도,구리시,시도,3,경기도 구리시 수택동 430-2,37.59694656,127.1384792,2,0,31120-TL-00646-02,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 수택동 878-1,37.58739466,127.1408634,2,1,31120-TL-00648-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 수택동 360,37.60191483,127.1436575,2,0,31120-TL-00650-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 수택동 360,37.60191483,127.1436575,2,0,31120-TL-00651-01,2,0,1,1,3980000
경기도,남양주시,시도,1,경기도 남양주시 별내동 917,37.657661,127.1211609,2,1,1488,2,0,0,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.657661,127.1211609,2,1,1489,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.65765731,127.1211609,2,1,1490,2,1,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.65765731,127.1211609,2,1,1491,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 898,37.659886,127.1284182,2,1,1419,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 44-2,37.664609,127.1325911,2,1,1197,2,1,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 1098-1,37.64575459,127.1110636,2,1,1167,2,0,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 1098-1,37.64575459,127.1110636,2,1,1168,2,0,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 1098-1,37.64575459,127.1110636,2,1,1169,2,1,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 1150-6,37.66403404,127.1128138,2,1,1170,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 1150-6,37.66403404,127.1128138,2,1,1175,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 1150-6,37.66403404,127.1128138,2,1,1176,2,0,0,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 924,37.65379678,127.1252656,1,1,1496,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 924,37.65379678,127.1252656,1,1,1497,2,0,0,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 907,37.66066185,127.1238133,2,1,1466,2,1,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 907,37.66066185,127.1238133,2,1,1467,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 912,37.65971498,127.1209634,2,1,1471,2,0,0,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 912,37.65971498,127.1209634,2,1,1472,2,0,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 924,37.65379678,127.1252656,2,1,1513,2,0,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 924,37.65379678,127.1252656,2,1,1514,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 924,37.65379678,127.1252656,2,1,1515,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.65765731,127.1211609,2,1,1483,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.65765731,127.1211609,2,1,1484,2,0,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 902,37.66098403,127.124967,2,1,1437,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 902,37.66098403,127.124967,2,1,1438,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 902,37.66098403,127.1249051,2,1,1439,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 902,37.66098403,127.1249051,2,1,1440,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 912,37.65971498,127.1209634,1,1,1475,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 912,37.65971498,127.1209634,1,1,1476,2,0,0,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.65765731,127.1211609,2,1,1479,2,0,0,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.65765731,127.1211609,2,1,1480,2,0,0,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 902-1,37.662321,127.128305,2,1,1449,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 902-1,37.662321,127.128305,2,1,1450,2,0,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 906-1,37.65898927,127.1242246,2,1,1451,2,1,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 907,37.66066185,127.1238133,2,1,1452,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 907,37.660668,127.123818,2,1,1456,2,0,1,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 907,37.660668,127.123818,2,1,1457,2,0,0,0,3990000
경기도,남양주시,시도,2,경기도 남양주시 별내동 917,37.65765731,127.1211609,2,1,1492,2,1,1,0,3990000
경기도,남양주시,시도,1,경기도 남양주시 별내동 924,37.65379678,127.1252656,2,1,1493,2,1,1,0,3990000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,36.7878482,127.0826083,2,1,3899,2,0,1,1,4520000
대구광역시,달서구,특별시도,1,대구광역시 달서구 대천동 597-12,35.82710983,128.5068243,2,1,14385,2,0,1,0,6270000
대구광역시,달서구,특별시도,1,대구광역시 달서구 월암동 912-6,35.82782,128.5064126,2,1,14382,2,0,1,0,6270000
대구광역시,달서구,특별시도,2,대구광역시 달서구 월암동 914-9,35.82822678,128.5079192,2,1,14381,2,0,1,0,6270000
경기도,구리시,시도,3,경기도 구리시 토평동 1009-2,37.59344011,127.1556808,2,0,31120-TL-00115-01,2,0,1,0,3980000
경기도,구리시,일반국도,3,경기도 구리시 교문동 257-1,37.60110094,127.1307277,2,1,31120-TL-00116-03,2,0,1,1,3980000
경기도,하남시,시도,3,경기도 하남시 신장동 600-1,37.54442639,127.2176603,2,0,31180-TL-00461-06,2,0,1,1,4040000
경상남도,거제시,지방도,3,경상남도 거제시 고현동 979-2,34.89026283,128.6243405,2,1,24,2,0,1,0,5370000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1349,36.81349988,127.068874,2,1,3893,2,0,0,0,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1349,36.81349988,127.068874,2,1,3894,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1348-1,36.81618531,127.0705966,2,1,3895,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,36.78800967,127.083074,2,1,3897,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1517,36.78786726,127.082746,2,1,3898,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1354,36.81072633,127.0632725,2,1,3885,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1349,36.81349988,127.068874,2,1,3887,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 명암리 1349,36.81349988,127.068874,2,1,3888,2,0,0,1,4520000
