sido,sigungu,doro,address,crosswalk_id,crosswalk_type,highland,crosswalk_lat,crosswalk_lon,roadnum,crosswalk_width,crosswalk_length,signal,button,sound_signal,bump,braille_block,spotlight,org_code
경상북도,구미시,칠성로,경상북도 구미시 원평동 560-6,칠성로-6,1,N,36.12547411,128.357748,5,7.95,16.62,Y, , , ,Y, ,5080000
경상북도,구미시,수출대로,경상북도 구미시 황상동 505,수출대로-18,1,N,36.11066124,128.4231761,6,5.96,19.01,Y, , , ,Y, ,5080000
경상북도,구미시,옥계2공단로,경상북도 구미시 옥계동 457-4,옥계2공단로-35,1,N,36.14703863,128.4186287,8,8.02,25.02,Y, , , ,Y, ,5080000
경상북도,구미시,금오산로,경상북도 구미시 원평동 429-24,금오산로-13,4,N,36.1254721,128.3357983,6,5.94,26.12,Y, , , ,Y, ,5080000
경상북도,구미시,금오산로,경상북도 구미시 원평동 964-282,금오산로-14,1,N,36.12646026,128.3367431,7,5.92,27.2,Y, , , ,Y, ,5080000
경상북도,구미시,검성로,경상북도 구미시 인의동 835,검성로-17,1,N,36.11084789,128.4246867,4,3.9,16.55,Y, , , ,N, ,5080000
경상북도,구미시,수출대로,경상북도 구미시 인의동 834,수출대로-22,1,N,36.11071591,128.4245713,6,5.99,22.55,Y, , , ,Y, ,5080000
경상북도,구미시,산호대로,경상북도 구미시 공단동 352-14,산호대로-68,1,N,36.09740289,128.3855245,2,3.96,7.02,Y, , , ,Y, ,5080000
경상북도,구미시,산호대로,경상북도 구미시 공단동 295-55,산호대로-86,1,N,36.09487425,128.3855699,2,3.97,11.92,Y, , , ,Y, ,5080000
경상북도,구미시,산호대로,경상북도 구미시 공단동 296-43,산호대로-89,1,N,36.09290328,128.3893806,2,6.03,9.55,Y, , , ,Y, ,5080000
경상북도,구미시,신당인덕1로,경상북도 구미시 산동읍 인덕리 1127,신당인덕1로-7,1,N,36.16226405,128.4411346,2,3.99,7.66,Y, , , ,Y, ,5080000
경상북도,구미시,옥계남로,경상북도 구미시 옥계동 872,옥계남로-6,1,N,36.13559017,128.4252725,2,6.1,7.89,Y, , , ,Y, ,5080000
경상북도,구미시,옥계남로,경상북도 구미시 옥계동 829,옥계남로-7,1,N,36.13528145,128.419667,4,5.96,11.27,Y, , , ,Y, ,5080000
경상북도,구미시,옥계남로,경상북도 구미시 옥계동 785,옥계남로-8,1,N,36.13540782,128.4251479,4,6.0,11.55,Y, , , ,Y, ,5080000
경상북도,구미시,산호대로32길,경상북도 구미시 옥계동 829,산호대로32길-2,1,N,36.13512268,128.4219129,2,5.19,10.71,Y, , , ,Y, ,5080000
경상북도,구미시,산호대로30길,경상북도 구미시 옥계동 867,산호대로30길-6,1,N,36.13540473,128.4195469,2,5.96,5.65,Y, , , ,Y, ,5080000
경상북도,구미시,산호대로,경상북도 구미시 옥계동 972,산호대로-65,1,N,36.13672433,128.4176195,6,7.45,35.75,Y, , , ,Y, ,5080000
경상북도,구미시,선산대로,경상북도 구미시 선산읍 동부리 502,선산대로-48,4,N,36.24348612,128.3054117,6,8.0,25.0,Y, , , ,Y, ,5080000
경상북도,구미시,교리동길,경상북도 구미시 선산읍 교리 304-1,교리동길-3,1,N,36.24659454,128.3059288,2,6.0,9.6,Y, , , ,Y, ,5080000
경상북도,구미시,신당인덕1로,경상북도 구미시 산동읍 신당리 1708,신당인덕1로-11,1,N,36.1555985,128.4390132,4,8.1,12.59,Y, , ,Y,Y,Y,5080000
경상북도,구미시,선산대로,경상북도 구미시 선산읍 교리 310-5,선산대로-45,1,N,36.24854034,128.3059165,7,8.0,20.5,Y, , , ,Y, ,5080000
경상북도,구미시,동교길,경상북도 구미시 선산읍 교리 1120-6,동교길-3,1,N,36.24870733,128.3041999,2,4.0,7.5,Y, , , ,Y, ,5080000
경상북도,구미시,교리길,경상북도 구미시 선산읍 교리 1171,교리길-3,1,N,36.24889598,128.3041187,2,3.9,8.7,Y, , , ,Y, ,5080000
경상북도,구미시,동교길,경상북도 구미시 선산읍 교리 1360,동교길-4,1,N,36.2508835,128.3047159,2,3.9,7.3,Y, , , ,Y, ,5080000
경상북도,구미시,선산향교길,경상북도 구미시 선산읍 교리 1355,선산향교길-3,1,N,36.25093783,128.3046562,2,4.0,6.5,Y, , , ,Y, ,5080000
