distance_m,confidence,sido,sigungu,cw_uid,sg_uid,fk_cw_ok,fk_sg_ok,sg_sido,sg_sigungu,sg_region_mismatch
82.25069295207736,0.1774930704792264,대전광역시,중구,CW_008945,SG_009345,True,True,대전광역시,서구,True
89.72224031972446,0.1027775968027553,대전광역시,중구,CW_008945,SG_009339,True,True,대전광역시,서구,True
92.5340585367771,0.074659414632229,대전광역시,중구,CW_008945,SG_009343,True,True,대전광역시,서구,True
93.16488239377436,0.0683511760622564,대전광역시,중구,CW_008945,SG_009392,True,True,대전광역시,서구,True
98.22189445298768,0.0177810554701232,대전광역시,중구,CW_008945,SG_009364,True,True,대전광역시,서구,True
8.376727936018225,0.9162327206398178,대전광역시,중구,CW_009052,SG_009310,True,True,대전광역시,서구,True
9.966357834295742,0.9003364216570426,대전광역시,중구,CW_009052,SG_009311,True,True,대전광역시,서구,True
13.080869048273987,0.8691913095172601,대전광역시,중구,CW_009052,SG_009312,True,True,대전광역시,서구,True
34.976120204886385,0.6502387979511361,대전광역시,중구,CW_009052,SG_009313,True,True,대전광역시,서구,True
34.98924917390077,0.6501075082609924,대전광역시,중구,CW_009052,SG_009314,True,True,대전광역시,서구,True
9.987584498994623,0.9001241550100538,대전광역시,중구,CW_009053,SG_009344,True,True,대전광역시,서구,True
13.05128048401762,0.8694871951598238,대전광역시,중구,CW_009053,SG_009336,True,True,대전광역시,서구,True
22.484171060209334,0.7751582893979067,대전광역시,중구,CW_009053,SG_009341,True,True,대전광역시,서구,True
24.48053430368857,0.7551946569631143,대전광역시,중구,CW_009053,SG_009340,True,True,대전광역시,서구,True
25.015539360555756,0.7498446063944424,대전광역시,중구,CW_009053,SG_009342,True,True,대전광역시,서구,True
81.84688779857846,0.1815311220142154,대전광역시,중구,CW_009053,SG_009345,True,True,대전광역시,서구,True
89.821374575601,0.10178625424399,대전광역시,중구,CW_009053,SG_009343,True,True,대전광역시,서구,True
92.14355809378748,0.078564419062125,대전광역시,중구,CW_009053,SG_009339,True,True,대전광역시,서구,True
93.84225859197436,0.0615774140802564,대전광역시,중구,CW_009053,SG_009392,True,True,대전광역시,서구,True
6.178612675991999,0.93821387324008,대전광역시,중구,CW_010562,SG_009103,True,True,대전광역시,서구,True
22.23754848188778,0.7776245151811222,대전광역시,중구,CW_010562,SG_009343,True,True,대전광역시,서구,True
25.73914835019023,0.7426085164980977,대전광역시,중구,CW_010562,SG_009392,True,True,대전광역시,서구,True
98.84354682589532,0.0115645317410466,대전광역시,중구,CW_010562,SG_009336,True,True,대전광역시,서구,True
5.137506719692374,0.9486249328030762,대전광역시,중구,CW_010563,SG_009343,True,True,대전광역시,서구,True
9.060729413144053,0.9093927058685596,대전광역시,중구,CW_010563,SG_009392,True,True,대전광역시,서구,True
22.31665747838581,0.7768334252161418,대전광역시,중구,CW_010563,SG_009103,True,True,대전광역시,서구,True
78.7192555856629,0.2128074441433709,대전광역시,중구,CW_010563,SG_009336,True,True,대전광역시,서구,True
85.13546646364489,0.148645335363551,대전광역시,중구,CW_010563,SG_009341,True,True,대전광역시,서구,True
85.58130317382403,0.1441869682617597,대전광역시,중구,CW_010563,SG_009342,True,True,대전광역시,서구,True
9.864098511340234,0.9013590148865976,대전광역시,중구,CW_010564,SG_009404,True,True,대전광역시,서구,True
14.721837173222722,0.8527816282677728,대전광역시,중구,CW_010564,SG_009405,True,True,대전광역시,서구,True
25.041410321162463,0.7495858967883753,대전광역시,중구,CW_010564,SG_009406,True,True,대전광역시,서구,True
33.66579339582636,0.6633420660417364,대전광역시,중구,CW_010564,SG_009402,True,True,대전광역시,서구,True
33.71014924267843,0.6628985075732157,대전광역시,중구,CW_010564,SG_009403,True,True,대전광역시,서구,True
38.45089961620258,0.6154910038379742,대전광역시,중구,CW_010564,SG_009401,True,True,대전광역시,서구,True
10.004194244335345,0.8999580575566466,대전광역시,중구,CW_010565,SG_009336,True,True,대전광역시,서구,True
11.159822703730809,0.888401772962692,대전광역시,중구,CW_010565,SG_009341,True,True,대전광역시,서구,True
13.812119560617594,0.861878804393824,대전광역시,중구,CW_010565,SG_009342,True,True,대전광역시,서구,True
21.05008567923402,0.7894991432076598,대전광역시,중구,CW_010565,SG_009344,True,True,대전광역시,서구,True
24.943167408209465,0.7505683259179053,대전광역시,중구,CW_010565,SG_009340,True,True,대전광역시,서구,True
81.91343310229274,0.1808656689770725,대전광역시,중구,CW_010565,SG_009343,True,True,대전광역시,서구,True
84.41532884797624,0.1558467115202375,대전광역시,중구,CW_010565,SG_009392,True,True,대전광역시,서구,True
89.73033432195362,0.1026966567804638,대전광역시,중구,CW_010565,SG_009345,True,True,대전광역시,서구,True
98.81436281923656,0.0118563718076345,대전광역시,중구,CW_010565,SG_009339,True,True,대전광역시,서구,True
8.390954170630494,0.9160904582936952,대전광역시,중구,CW_010566,SG_009403,True,True,대전광역시,서구,True
8.428452050054412,0.915715479499456,대전광역시,중구,CW_010566,SG_009402,True,True,대전광역시,서구,True
18.852747000733213,0.8114725299926678,대전광역시,중구,CW_010566,SG_009401,True,True,대전광역시,서구,True
25.74279261158217,0.7425720738841782,대전광역시,중구,CW_010566,SG_009405,True,True,대전광역시,서구,True
26.958061975480096,0.730419380245199,대전광역시,중구,CW_010566,SG_009404,True,True,대전광역시,서구,True
28.89710892527552,0.7110289107472448,대전광역시,중구,CW_010566,SG_009406,True,True,대전광역시,서구,True
11.464197154841848,0.8853580284515815,대전광역시,중구,CW_010567,SG_009406,True,True,대전광역시,서구,True
11.634007472299,0.88365992527701,대전광역시,중구,CW_010567,SG_009401,True,True,대전광역시,서구,True
12.213826946579228,0.8778617305342078,대전광역시,중구,CW_010567,SG_009402,True,True,대전광역시,서구,True
13.816454612074208,0.8618354538792579,대전광역시,중구,CW_010567,SG_009405,True,True,대전광역시,서구,True
25.72024537715046,0.7427975462284955,대전광역시,중구,CW_010567,SG_009403,True,True,대전광역시,서구,True
27.966789201165238,0.7203321079883477,대전광역시,중구,CW_010567,SG_009404,True,True,대전광역시,서구,True
91.7508402177974,0.082491597822026,대전광역시,중구,CW_010567,SG_009407,True,True,대전광역시,서구,True
95.34279772687631,0.0465720227312368,대전광역시,중구,CW_010567,SG_009400,True,True,대전광역시,서구,True
6.555642714036038,0.9344435728596396,대전광역시,중구,CW_010568,SG_009345,True,True,대전광역시,서구,True
7.536807322513551,0.9246319267748644,대전광역시,중구,CW_010568,SG_009339,True,True,대전광역시,서구,True
22.84235366014189,0.7715764633985811,대전광역시,중구,CW_010568,SG_009364,True,True,대전광역시,서구,True
33.09181929705581,0.669081807029442,대전광역시,중구,CW_010568,SG_009377,True,True,대전광역시,서구,True
71.27250840955344,0.2872749159044656,대전광역시,중구,CW_010568,SG_009340,True,True,대전광역시,서구,True
77.0087674315681,0.2299123256843189,대전광역시,중구,CW_010568,SG_009344,True,True,대전광역시,서구,True
93.713203908791,0.06286796091209,대전광역시,중구,CW_010568,SG_009341,True,True,대전광역시,서구,True
94.02036288120208,0.059796371187979,대전광역시,중구,CW_010568,SG_009342,True,True,대전광역시,서구,True
99.49193991618344,0.0050806008381657,대전광역시,중구,CW_010568,SG_009336,True,True,대전광역시,서구,True
8.037501419735667,0.9196249858026432,대전광역시,중구,CW_010569,SG_009377,True,True,대전광역시,서구,True
8.99672840981765,0.9100327159018236,대전광역시,중구,CW_010569,SG_009364,True,True,대전광역시,서구,True
18.32875433158645,0.8167124566841355,대전광역시,중구,CW_010569,SG_009339,True,True,대전광역시,서구,True
31.75507120225004,0.6824492879774997,대전광역시,중구,CW_010569,SG_009345,True,True,대전광역시,서구,True
91.76074181183586,0.0823925818816414,대전광역시,중구,CW_010569,SG_009340,True,True,대전광역시,서구,True
50.5430648793681,0.4945693512063189,대전광역시,중구,CW_010570,SG_009345,True,True,대전광역시,서구,True
54.14192353445506,0.4585807646554494,대전광역시,중구,CW_010570,SG_009339,True,True,대전광역시,서구,True
58.63503523900465,0.4136496476099535,대전광역시,중구,CW_010570,SG_009377,True,True,대전광역시,서구,True
62.88382900129687,0.3711617099870313,대전광역시,중구,CW_010570,SG_009364,True,True,대전광역시,서구,True
12.86271099077557,0.8713728900922443,대전광역시,중구,CW_010571,SG_009398,True,True,대전광역시,서구,True
13.098197623020098,0.869018023769799,대전광역시,중구,CW_010571,SG_009399,True,True,대전광역시,서구,True
18.692305238722827,0.8130769476127717,대전광역시,중구,CW_010571,SG_009400,True,True,대전광역시,서구,True
18.89601060118181,0.8110398939881819,대전광역시,중구,CW_010571,SG_009397,True,True,대전광역시,서구,True
33.076206195198914,0.6692379380480109,대전광역시,중구,CW_010571,SG_009407,True,True,대전광역시,서구,True
37.8058617257775,0.6219413827422251,대전광역시,중구,CW_010571,SG_009408,True,True,대전광역시,서구,True
39.0454029855574,0.6095459701444261,대전광역시,중구,CW_010571,SG_009409,True,True,대전광역시,서구,True
11.704065584423992,0.88295934415576,대전광역시,중구,CW_010572,SG_009397,True,True,대전광역시,서구,True
20.236450008414103,0.797635499915859,대전광역시,중구,CW_010572,SG_009398,True,True,대전광역시,서구,True
