sido,sigungu,road_type,road_direction,address,signal_lat,signal_lon,road_shape,is_main_road,signal_type,has_ped_button,has_time_show,has_sound_signal,org_code,sg_uid
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 석왕동 산 78-1,35.97058398,127.0223828,2,1,2,0,1,0,4681000,SG_005131
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 삼기면 서두리 106-9,36.03500214,126.9779345,2,1,2,0,0,0,4681000,SG_005132
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 함라면 신등리 산 79-1,36.04436953,126.8937776,2,1,2,0,0,0,4681000,SG_005133
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 함라면 함열리 140,36.05903955,126.9128858,2,1,2,0,0,0,4681000,SG_005134
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 오산면 영만리 889-4,35.9534818,126.9161209,2,1,2,0,1,0,4681000,SG_005135
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 오산면 장신리 885-127,35.95334232,126.9163463,2,1,2,0,1,0,4681000,SG_005136
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 모현동2가 349-9,35.95120386,126.9337775,2,1,2,0,1,0,4681000,SG_005137
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 모현동1가 553-1,35.95069948,126.9350105,2,1,2,0,1,0,4681000,SG_005138
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 송학동 263-14,35.94361416,126.9348231,2,1,2,0,1,0,4681000,SG_005139
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 왕궁면 동촌리 119-10,35.98983769,127.0829784,2,1,2,0,1,0,4681000,SG_005140
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 오산면 오산리 1069-3,35.92616614,126.9057671,2,1,2,0,1,1,4681000,SG_005141
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 부송동 1064,35.954082,126.9950288,2,1,2,0,1,0,4681000,SG_005142
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 동산동 347-4,35.92748995,126.9633326,2,0,2,0,1,0,4681000,SG_005143
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 동산동 360-1,35.92770978,126.9634616,2,0,2,0,1,0,4681000,SG_005144
전북특별자치도,익산시,지방도,2,전북특별자치도 익산시 팔봉동 산 164-1,35.96391747,127.0079694,2,1,2,0,1,0,4681000,SG_005145
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 송학동 97-120,35.93773034,126.9404836,2,1,2,0,1,0,4681000,SG_005146
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 송학동 230,35.94094158,126.9371097,2,1,2,0,1,0,4681000,SG_005147
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 송학동 235-21,35.94229551,126.937777,2,1,2,0,1,0,4681000,SG_005148
전북특별자치도,익산시,일반국도,2,전북특별자치도 익산시 동산동 316-3,35.92669631,126.9647684,2,1,2,0,1,0,4681000,SG_005149
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 신동 830,35.96379522,126.9580954,1,1,2,0,1,0,4681000,SG_005150
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 영등동 339-42,35.95929953,126.9680988,1,1,2,0,1,0,4681000,SG_005151
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 영등동 339-16,35.95931894,126.9683669,1,1,2,0,1,0,4681000,SG_005152
경기도,구리시,시도,3,경기도 구리시 수택동 847,37.5921579,127.1381287,2,1,2,0,1,1,3980000,SG_005153
경기도,구리시,시도,3,경기도 구리시 교문동 768,37.5932311,127.1381289,2,0,2,0,1,1,3980000,SG_005154
경기도,구리시,시도,3,경기도 구리시 교문동 789,37.59404464,127.137538,2,0,2,0,1,1,3980000,SG_005155
경기도,구리시,시도,3,경기도 구리시 수택동 847,37.5921701,127.1381287,2,1,2,0,1,1,3980000,SG_005156
경기도,구리시,시도,3,경기도 구리시 교문동 788,37.5924776,127.1374506,2,1,2,0,1,1,3980000,SG_005157
경기도,구리시,시도,3,경기도 구리시 교문동 1-2,37.59762716,127.1368468,2,0,2,0,1,1,3980000,SG_005158
경기도,구리시,일반국도,3,경기도 구리시 인창동 94-1,37.61605596,127.1378822,2,1,2,0,1,0,3980000,SG_005159
경기도,구리시,일반국도,3,경기도 구리시 교문동 257-1,37.60110094,127.1307277,1,1,2,0,1,1,3980000,SG_005160
경기도,구리시,시도,3,경기도 구리시 갈매동 275-37,37.63218791,127.1143075,2,1,2,0,0,1,3980000,SG_005161
경기도,구리시,시도,3,경기도 구리시 인창동 452,37.61124776,127.1355151,2,0,2,0,1,1,3980000,SG_005162
경기도,구리시,시도,3,경기도 구리시 인창동 452,37.61124776,127.1355151,2,0,2,0,1,1,3980000,SG_005163
경기도,구리시,일반국도,3,경기도 구리시 인창동 498,37.60949109,127.1363005,2,1,2,0,1,0,3980000,SG_005164
경기도,구리시,일반국도,3,경기도 구리시 교문동 257-1,37.60110094,127.1307277,1,1,2,0,1,1,3980000,SG_005165
경기도,구리시,일반국도,3,경기도 구리시 교문동 257-1,37.60110094,127.1307277,1,1,2,0,1,1,3980000,SG_005166
경기도,구리시,시도,3,경기도 구리시 인창동 487-51,37.6093231,127.1330208,2,0,2,0,1,0,3980000,SG_005167
경기도,구리시,시도,3,경기도 구리시 토평동 998,37.59403237,127.1509907,2,1,2,0,1,1,3980000,SG_005168
경기도,구리시,시도,3,경기도 구리시 갈매동 163-135,37.64175751,127.1132036,2,1,2,0,1,1,3980000,SG_005169
경기도,구리시,시도,3,경기도 구리시 갈매동 163-135,37.64175751,127.1132036,2,0,2,0,1,1,3980000,SG_005170
경기도,구리시,일반국도,3,경기도 구리시 갈매동 275-4,37.63217152,127.1145517,2,1,2,0,1,1,3980000,SG_005171
경기도,구리시,시도,3,경기도 구리시 인창동 493-5,37.6086466,127.1335057,2,1,2,0,1,0,3980000,SG_005172
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 신흥동 740-13,35.94147007,126.984703,1,1,2,0,1,0,4681000,SG_005173
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 신흥동 735-4,35.94057836,126.981567,1,1,2,0,1,0,4681000,SG_005174
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 삼기면 오룡리 1310,36.03839523,126.9966425,1,1,2,0,1,0,4681000,SG_005175
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 삼기면 오룡리 1310,36.03832181,126.9966425,1,1,2,0,1,0,4681000,SG_005176
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 동산동 1067,35.93393552,126.9623791,1,1,2,0,1,0,4681000,SG_005177
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 오산면 송학리 291-21,35.94522023,126.9310117,1,0,2,0,1,0,4681000,SG_005178
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 어양동 620,35.95273063,126.9835024,1,1,2,0,1,0,4681000,SG_005179
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 어양동 620,35.95273063,126.9835931,1,1,2,0,1,0,4681000,SG_005180
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 송학동 224-130,35.93850855,126.9344359,1,1,2,0,1,0,4681000,SG_005181
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 모현동1가 13-1,35.95423115,126.9523427,1,1,2,0,1,0,4681000,SG_005182
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 모현동1가 13-1,35.95423115,126.9523066,1,1,2,0,1,0,4681000,SG_005183
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 평화동 231-18,35.93134071,126.9433108,1,1,2,0,1,0,4681000,SG_005184
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 평화동 247-9,35.93123614,126.9435264,1,1,2,0,1,0,4681000,SG_005185
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 모현동2가 281-1,35.95474532,126.9424005,1,1,2,0,1,0,4681000,SG_005186
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 모현동2가 산 10-11,35.95574771,126.9474812,1,1,2,0,1,0,4681000,SG_005187
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 모현동2가 산 10-11,35.95571601,126.9474812,1,1,2,0,1,0,4681000,SG_005188
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 모현동2가 산 10-11,35.95577644,126.9474812,1,1,2,0,1,0,4681000,SG_005189
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 남중동 561,35.95298814,126.9616302,1,1,2,0,1,0,4681000,SG_005190
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 부송동 1077,35.95758963,126.9892019,1,1,2,0,1,0,4681000,SG_005191
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 어양동 620,35.95273063,126.9835931,1,1,2,0,1,0,4681000,SG_005192
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 어양동 620,35.95273063,126.9835081,1,1,2,0,1,0,4681000,SG_005193
전북특별자치도,익산시,시도,3,전북특별자치도 익산시 오산면 장신리 598-37,35.95088893,126.9205579,1,0,2,0,1,0,4681000,SG_005194
