sido,sigungu,road_type,road_direction,address,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경상남도,거제시,지방도,3,경상남도 거제시 고현동 979-2,2,1,26,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 고현동 979-2,2,1,27,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 고현동 29-21,1,1,29,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 고현동 29-21,1,1,31,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 734-19,2,1,2,2,0,0,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 734-19,2,1,5,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 731-37,2,1,7,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 731-37,2,1,8,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 731-37,2,1,10,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 외간리 620-8,2,1,12,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 외간리 620-8,2,1,13,2,0,1,0,5370000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,2,1,3900,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1515,2,1,3901,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,2,1,3902,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,2,1,3903,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 808-8,2,1,3904,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 808-8,2,1,3905,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 600-1,2,1,3906,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 807-7,2,1,3907,2,0,1,1,4520000
경기도,구리시,시도,3,경기도 구리시 갈매동 585,2,0,31120-TL-00861-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 585,2,0,31120-TL-00862-03,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 585,2,1,31120-TL-00862-04,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 585,2,1,31120-TL-00863-02,2,0,1,1,3980000
경기도,구리시,시도,3,경기도 구리시 갈매동 579,2,0,31120-TL-00864-03,2,0,1,1,3980000
충청남도,아산시,기타,3,충청남도 아산시 배방읍 북수리 1939,2,1,3176,2,0,1,1,4520000
경기도,구리시,시도,3,경기도 구리시 갈매동 585,2,1,31120-TL-00855-04,2,0,1,1,3980000
