accident_id,crosswalk_id,distance_m
6778766,CW_040719,24.47530953206956
6778766,CW_040721,51.79408321453835
6778766,CW_040718,53.56104378148881
6778766,CW_041543,53.56104378148881
6778766,CW_041544,53.56104378148881
6778767,CW_004648,30.41352147342398
6778767,CW_004658,39.141064639556205
6778767,CW_004659,54.67114275207182
6778767,CW_004657,90.53264364671664
6778883,CW_041190,61.46738949785995
6778889,CW_038982,6.221322314240662
6778889,CW_038983,85.69142919633653
6778889,CW_038981,94.47042417952296
6778895,CW_020745,43.1927795411477
6778895,CW_020746,88.21777880557111
6778895,CW_020747,95.8627476419797
6778905,CW_018676,9.817145283291369
6778905,CW_014076,11.778947711863198
6778905,CW_018677,89.20134938938608
6778910,CW_017050,10.776369109539727
6778910,CW_017049,21.24086937348983
6778910,CW_017044,36.02176953164866
6778910,CW_017047,41.14190096967916
6778910,CW_017046,42.15120982251788
6778910,CW_017045,60.04010033492676
6778910,CW_017043,60.37314860433101
6778910,CW_017048,81.59387386699902
6778911,CW_036602,25.841636387225872
6778911,CW_025954,42.913204294901426
6778915,CW_034122,31.523674173107807
6778922,CW_017175,10.591473743596767
6778922,CW_017174,13.757906888000585
6778922,CW_017173,18.441996926792903
6778922,CW_017136,74.82439105495374
6778922,CW_017137,74.82439105495374
6778927,CW_033235,15.506265141487066
6778927,CW_033233,35.965353201670226
6778927,CW_033236,36.15041399019696
6778927,CW_033234,64.21100230462774
6778930,CW_041963,34.40897883076742
6778930,CW_041662,35.67413830684831
6778930,CW_004292,69.6195463218371
6778930,CW_016561,69.6195463218371
6778930,CW_039703,69.6195463218371
6778930,CW_039704,69.6195463218371
6778930,CW_040685,69.6195463218371
6778930,CW_041631,69.6195463218371
6778930,CW_041632,69.6195463218371
6778930,CW_041669,69.6195463218371
6778930,CW_041670,69.6195463218371
6778930,CW_041671,69.6195463218371
6778930,CW_041672,69.6195463218371
6778930,CW_041679,69.6195463218371
6778930,CW_041687,69.6195463218371
6778930,CW_041791,69.6195463218371
6778930,CW_041801,69.6195463218371
6778930,CW_041803,69.6195463218371
6778930,CW_041810,69.6195463218371
6778930,CW_041812,69.6195463218371
6778930,CW_041961,69.6195463218371
6778930,CW_041964,69.6195463218371
6778930,CW_044678,85.3517289215623
6778930,CW_040686,89.19404201232338
6778944,CW_028097,9.792004808021069
6778944,CW_028094,19.286866408077028
6778944,CW_028098,20.315071886213456
6778944,CW_028102,61.045391859142384
6778946,CW_015041,25.349565364017806
6778946,CW_015040,45.35400696892097
6778946,CW_015042,53.3519166249904
6778946,CW_015043,61.189234079536455
6778946,CW_015044,91.2418325558219
6778946,CW_015039,92.21991065004104
6778949,CW_040738,13.780716562026328
6778949,CW_040739,13.780716562026328
6778949,CW_041059,30.902939470689372
6778949,CW_040807,31.38281047404496
6778949,CW_041081,31.38281047404496
6778949,CW_041465,33.26183358703985
6778949,CW_040735,33.744058425614476
6778949,CW_041603,44.242010393998974
6778949,CW_041082,55.085495008008564
6778949,CW_040737,68.0558647404813
6778949,CW_041083,76.55579560211338
6778949,CW_040736,79.1128000841644
6778962,CW_018283,51.726254539737965
6778965,CW_003482,42.607725929256176
6778965,CW_003481,42.607725929256176
6778965,CW_003480,67.46202559643442
6778976,CW_040877,17.818353934029552
6778976,CW_036982,31.490210694624025
6778976,CW_037167,38.13723426626949
6778976,CW_037000,38.13723426626949
6778976,CW_036999,38.13723426626949
6778976,CW_036998,38.13723426626949
6778976,CW_036997,38.70686930703244
6778978,CW_042647,78.38442650604964
6778978,CW_022717,85.65622104774148
6778978,CW_027508,86.82429061151838
6778978,CW_027280,86.82429061151838
6778978,CW_027505,86.82429061151838
6778978,CW_022716,86.82429061151838
6778978,CW_027510,86.82429061151838
6778978,CW_027509,86.82429061151838
6778978,CW_027506,86.82429061151838
6778978,CW_004830,86.82429061151838
6778978,CW_022715,86.82429061151838
6778978,CW_044205,86.83450578723867
6778990,CW_041192,19.299515877913947
6778997,CW_001394,9.572844346865406
6778997,CW_001439,41.74492123444505
6778997,CW_001395,41.74492123444505
6778997,CW_001440,62.55337853180493
6778997,CW_001716,91.77955948271838
6779001,CW_049415,62.19949551805112
6779016,CW_033304,70.2205066327181
6779017,CW_021167,15.883672716094061
6779017,CW_021172,22.236669725600436
6779017,CW_020247,23.902131457722575
6779017,CW_021169,26.37263836640413
6779017,CW_020256,30.94772316059146
6779017,CW_020250,38.256037241657886
6779017,CW_021163,55.319165474607985
6779017,CW_020523,81.74791475144374
6779021,CW_014294,55.90418229374608
6779021,CW_014295,78.09334252658888
6779023,CW_015419,11.50862786876456
6779023,CW_045299,19.514925049565683
6779023,CW_045300,27.49836167391334
